gisjoin,fips,adi_natrank,adi_staternk
G37003500101023,370350101023,55,5
G37003500102011,370350102011,67,6
G37003500102012,370350102012,75,7
G37003500102013,370350102013,61,5
G37003500102021,370350102021,49,4
G37003500102022,370350102022,53,4
G37003500102023,370350102023,79,8
G37003500102024,370350102024,68,6
G37003500103011,370350103011,71,7
G37003500103012,370350103012,69,6
G37003500103013,370350103013,37,3
G37003500103021,370350103021,41,3
G37003500103022,370350103022,34,2
G37003500103023,370350103023,60,5
G37003500103031,370350103031,45,3
G37003500103032,370350103032,72,7
G37003500103041,370350103041,64,6
G37003500103042,370350103042,75,7
G37003500103043,370350103043,79,8
G37003500104011,370350104011,57,5
G37003500104012,370350104012,68,6
G37003500104013,370350104013,73,7
G37003500104021,370350104021,85,9
G37003500104022,370350104022,80,8
G37003500105011,370350105011,28,2
G37003500105012,370350105012,19,1
G37003500105013,370350105013,49,4
G37003500105021,370350105021,11,1
G37003500105022,370350105022,42,3
G37003500106001,370350106001,34,2
G37003500106002,370350106002,75,7
